name,ticker,figi,lot,currency,class_code
FactSet Research Systems Inc,FDS,BBG000BDJL83,1,usd,SPBXM
Navient,NAVI,BBG004MN1R41,1,usd,SPBXM
Glacier Ban,GBCI,BBG000C3KB84,1,usd,SPBXM
PBF Energy Inc,PBF,BBG002832GV8,1,usd,SPBXM
Synopsys,SNPS,BBG000BSFRF3,1,usd,SPBXM
Harmony Biosciences Holdings,HRMY,BBG00WBPG4C2,1,usd,SPBXM
"ChoiceOne Financial Services, Inc.",COFS,BBG000LLRNX3,1,usd,SPBXM
US Bancorp,USB,BBG000FFDM15,1,usd,SPBXM
Janus Henderson Group,JHG,BBG00GSNPM07,1,usd,SPBXM
Matson Inc,MATX,BBG000BBK401,1,usd,SPBXM
Genesco Inc,GCO,BBG000BK5S78,1,usd,SPBXM
Forrester Research Inc,FORR,BBG000HGNYG8,1,usd,SPBXM
eXp World Holdings,EXPI,BBG001DCTG63,1,usd,SPBXM
Axonics,AXNX,BBG0067QVJ50,1,usd,SPBXM
Exelixis Inc,EXEL,BBG000BQ4WF8,1,usd,SPBXM
Live Nation Entertainment Inc,LYV,BBG000FQ7YR4,1,usd,SPBXM
Cullen/Frost Bankers,CFR,BBG000C2PL98,1,usd,SPBXM
Deciphera Pharmaceuticals Inc,DCPH,BBG00HMJ9H54,1,usd,SPBXM
Armstrong World Industries Inc,AWI,BBG000DW4LB1,1,usd,SPBXM
